sample	group	source_name	organism	tissue	diet	surgery	molecule	file
RH-1	SMV normal	Myocardium	Sus scrofa	Normal myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-1_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-2	SMV normal	Myocardium	Sus scrofa	Normal myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-2_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-3	SMV normal	Myocardium	Sus scrofa	Normal myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-3_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-4	SMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-4_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-5	SMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-5_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-6	SMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-6_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-7	MVM	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-7_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-8	MVM	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-8_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-10	MVM	Myocardium	Sus scrofa	Ischemic myocardium	Normal diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-10_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-11	HVM	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-11_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-12	HVM	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-12_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-14	HVM	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Microvesicle Injection	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-14_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-15	HSMV normal	Myocardium	Sus scrofa	Normal myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-15_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-16	HSMV normal	Myocardium	Sus scrofa	Normal myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-16_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-18	HSMV normal	Myocardium	Sus scrofa	Normal myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-18_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-19	HSMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-19_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-21	HSMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-21_R1_001_tr_bismark_bt2.bismark.cov.gz
RH-22	HSMV ischemic	Myocardium	Sus scrofa	Ischemic myocardium	High fat diet	Sham surgery	genomic DNA	/gpfs/data/cbc/fedulov_alexey/porcine_rrbs/Fedulov_porcine_rrbs/dat/Rh-22_R1_001_tr_bismark_bt2.bismark.cov.gz
